"[[""title"", ""upvotes"", ""category""]]"
The wonder of life beneath the waves in photographs,697,Watercooler
'Underground' finale brilliantly introduces a character we've all been waiting for,937,Entertainment
44 Books on 44 Presidents: My struggle with Ulysses Grant,1148,Entertainment
Australia's prime minister named in Panama Papers,700,World
"Scenes of devastation in Fort McMurray, Canada following massive wildfire",788,World
"Fractures seen in rapidly melting Arctic sea ice, and it's only May",889,World
Russian medieval re-enactor takes down annoying drone with javelin,788,Watercooler
Abandoned beer-loving pig rescued after Fort McMurray evacuation,715,Watercooler
Why the world's richest airlines are snatching up second-hand planes,727,World
Toddler kicks off beach season by chasing after some ladies,761,Watercooler
